Type,Word,Frequency
명사,Schriftsteller,4
명사,Fortsetzung,4
명사,Gute,4
명사,Komparativ,4
명사,Verkehrsmittel,4
명사,Gebrauchtwag,4
명사,Note,4
명사,Handtuch,4
명사,Examen,4
명사,Spaziergang,4
명사,Vorlesung,4
명사,Mensa,4
명사,Abfahrt,4
명사,Abreise,4
명사,Besucher,4
명사,Kopfschmerz,4
명사,Ware,4
명사,Semester,4
명사,Sorge,4
명사,Mal,4
명사,Kleidung,4
명사,Abiturnot,4
명사,Konjunktiv,4
명사,Konzessivsatz,4
명사,Liste,3
명사,Verlag,3
명사,Inhaltsverzeichnis,3
명사,Tempora,3
명사,Aufl,3
명사,Finalsätze,3
명사,Mittelstufe,3
명사,Fall,3
명사,Satzzeichen,3
명사,Konditionalsätz,3
명사,Konsonant,3
명사,Lesen,3
명사,Bildung,3
명사,Pers,3
명사,Verbformen,3
명사,Vogel,3
명사,Boden,3
명사,Sofa,3
명사,Cafe,3
명사,Meter,3
명사,Krankenhaus,3
명사,Großvater,3
명사,Ter,3
명사,Suchen,3
명사,Himmel,3
명사,Arbeiter,3
명사,Warteraum,3
명사,Sofort,3
명사,Hochhaus,3
명사,Rede,3
명사,Schuh,3
명사,Dativ,3
명사,Schreiben,3
명사,Äpfel,3
명사,Partei,3
명사,Temperatur,3
명사,Politik,3
명사,Zuhörer,3
명사,Produkt,3
명사,Makler,3
명사,Ausländer,3
명사,Voraus,3
명사,Schildbürger,3
명사,Stück,3
명사,Baumstamm,3
명사,Erzählen,3
명사,Nasreddin,3
명사,Markt,3
명사,Dorf,3
명사,Spaß,3
명사,Kuchen,3
명사,Hose,3
명사,Strafe,3
명사,König,3
명사,Anfang,3
명사,Gespräch,3
명사,Kramer,3
명사,Geschwindigkeit,3
명사,Sekretärin,3
명사,Verkehrsunfall,3
명사,Beamtin,3
명사,Gesetz,3
명사,Musste,3
명사,Verletzter,3
명사,Tausend,3
명사,Oktoberfest,3
명사,Fährt,3
명사,Kühlschrank,3
명사,Zigarette,3
명사,Staat,3
명사,Arbeitslose,3
명사,Uniform,3
명사,Schülerin,3
명사,Tante,3
명사,Sachbearbeiter,3
명사,Gutachten,3
명사,Genitiv,3
명사,Assistent,3
명사,Soldat,3
명사,Pole,3
명사,Motorrad,3
명사,Handschuhe,3
명사,Kälte,3
명사,Kamera,3
명사,Rucksack,3
명사,Beruf,3
명사,Chefin,3
명사,Insel,3
명사,Teur,3
명사,Fernsehgerät,3
명사,Pflanze,3
명사,Musik,3
명사,Drucker,3
명사,Verkehr,3
명사,Gleichheit,3
명사,Ungleichheit,3
명사,Kreuzung,3
명사,Füller,3
